Series ID,Year,Period,Label,Value
LNU04000000,1984,M06,1984 June,7.4
LNU04000000,1984,M07,1984 July,7.5
LNU04000000,1984,M08,1984 August,7.3
LNU04000000,1984,M09,1984 September,7.1
LNU04000000,1984,M10,1984 October,7
LNU04000000,1984,M11,1984 November,6.9
LNU04000000,1984,M12,1984 December,7
LNU04000000,1985,M01,1985 January,8
LNU04000000,1985,M02,1985 February,7.8
LNU04000000,1985,M03,1985 March,7.5
LNU04000000,1985,M04,1985 April,7.1
LNU04000000,1985,M05,1985 May,7
LNU04000000,1985,M06,1985 June,7.5
LNU04000000,1985,M07,1985 July,7.4
LNU04000000,1985,M08,1985 August,6.9
LNU04000000,1985,M09,1985 September,6.9
LNU04000000,1985,M10,1985 October,6.8
LNU04000000,1985,M11,1985 November,6.7
LNU04000000,1985,M12,1985 December,6.7
LNU04000000,1986,M01,1986 January,7.3
LNU04000000,1986,M02,1986 February,7.8
LNU04000000,1986,M03,1986 March,7.5
LNU04000000,1986,M04,1986 April,7
LNU04000000,1986,M05,1986 May,7
LNU04000000,1986,M06,1986 June,7.3
LNU04000000,1986,M07,1986 July,7
LNU04000000,1986,M08,1986 August,6.7
LNU04000000,1986,M09,1986 September,6.8
LNU04000000,1986,M10,1986 October,6.6
LNU04000000,1986,M11,1986 November,6.6
LNU04000000,1986,M12,1986 December,6.3
LNU04000000,1987,M01,1987 January,7.3
LNU04000000,1987,M02,1987 February,7.2
LNU04000000,1987,M03,1987 March,6.9
LNU04000000,1987,M04,1987 April,6.2
LNU04000000,1987,M05,1987 May,6.1
LNU04000000,1987,M06,1987 June,6.3
LNU04000000,1987,M07,1987 July,6.1
LNU04000000,1987,M08,1987 August,5.8
LNU04000000,1987,M09,1987 September,5.7
LNU04000000,1987,M10,1987 October,5.7
LNU04000000,1987,M11,1987 November,5.6
LNU04000000,1987,M12,1987 December,5.4
LNU04000000,1988,M01,1988 January,6.3
LNU04000000,1988,M02,1988 February,6.2
LNU04000000,1988,M03,1988 March,5.9
LNU04000000,1988,M04,1988 April,5.3
LNU04000000,1988,M05,1988 May,5.4
LNU04000000,1988,M06,1988 June,5.5
LNU04000000,1988,M07,1988 July,5.5
LNU04000000,1988,M08,1988 August,5.4
LNU04000000,1988,M09,1988 September,5.2
LNU04000000,1988,M10,1988 October,5
LNU04000000,1988,M11,1988 November,5.2
LNU04000000,1988,M12,1988 December,5
LNU04000000,1989,M01,1989 January,6
LNU04000000,1989,M02,1989 February,5.6
LNU04000000,1989,M03,1989 March,5.2
LNU04000000,1989,M04,1989 April,5.1
LNU04000000,1989,M05,1989 May,5
LNU04000000,1989,M06,1989 June,5.5
LNU04000000,1989,M07,1989 July,5.3
LNU04000000,1989,M08,1989 August,5.1
LNU04000000,1989,M09,1989 September,5.1
LNU04000000,1989,M10,1989 October,5
LNU04000000,1989,M11,1989 November,5.2
LNU04000000,1989,M12,1989 December,5.1
LNU04000000,1990,M01,1990 January,6
LNU04000000,1990,M02,1990 February,5.9
LNU04000000,1990,M03,1990 March,5.5
LNU04000000,1990,M04,1990 April,5.3
LNU04000000,1990,M05,1990 May,5.2
LNU04000000,1990,M06,1990 June,5.4
LNU04000000,1990,M07,1990 July,5.6
LNU04000000,1990,M08,1990 August,5.5
LNU04000000,1990,M09,1990 September,5.6
LNU04000000,1990,M10,1990 October,5.5
LNU04000000,1990,M11,1990 November,5.9
LNU04000000,1990,M12,1990 December,6
